meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
bassit_complete,LLSL,SSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,LLSL,LSL,LLSL,SSL,NN
bassit_complete,LSSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,LLSL,LSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,SSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,SSL,LLSL,SSL,LLSL,LSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,SLSL,LSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,SLSL,LSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,SLSL,LSL,LLSL,SSL,NN
bassit_complete,SLSL,SSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,SSL,LLSL,SSL,SLSL,LSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,LSL,LLSL,SSL,NN
bassit_complete,SLSL,SSL,LLSL,SSL,LSSL,LSL,LLSL,SSL,NN
bassit_complete,LSSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,SLSL,LSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,LLSL,LSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LSSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,LLSL,LSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,LSSL,LSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,LLSL,LSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,LSL,LLSL,SSL,SLSL,SSL,LLSL,SSL,NN
bassit_complete,SLSL,LSL,LLSL,SSL,SLSL,LSL,LLSL,SSL,NN
bassit_complete,SLSL,SSL,LLSL,SSL,LLSL,LSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
bassit_complete,LLSL,SSL,LLSL,SSL,LLSL,SSL,LLSL,SSL,NN
